train/reward,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/std,train/learning_rate
0.50900334,2048,138,14,1,,,,,,,,,,,
2.8267758,4096,128,31,2,0.008867039,19.18526268005371,-41.190477108955385,-0.00818791579513345,10,0.2,0.0,52.965068984031674,0.1572265625,1.0024330615997314,0.00025
-0.1957165,6144,128,47,3,0.009828206,105.50753021240234,-41.220623922348025,-0.007974547840422019,20,0.2,0.0,243.96426796913147,0.107666015625,1.002504587173462,0.00025
-3.7771337,8192,128,63,4,0.010709258,78.23051452636719,-41.23323276042938,-0.007472074913675897,30,0.2,-1.1920928955078125e-07,210.58139123916627,0.102197265625,1.0036547183990479,0.00025
14.775315,10240,128,79,5,0.009485256,124.7020492553711,-41.2511289358139,-0.005523957294644788,40,0.2,0.0,231.2231960773468,0.099169921875,1.0035371780395508,0.00025
-2.9867523,12288,128,95,6,0.009212322,65.95292663574219,-41.2867604970932,-0.00899993171042297,50,0.2,0.0,156.90349650382996,0.123828125,1.006331443786621,0.00025
1.5486543,14336,128,111,7,0.007331662,258.4866638183594,-41.33698856830597,-0.005704238275939133,60,0.2,0.0,624.7589246749878,0.033349609375,1.0069024562835693,0.00025
31.398438,16384,128,127,8,0.006808239,292.55828857421875,-41.36302578449249,-0.004722942679654807,70,0.2,0.0,687.9479671478272,0.03251953125,1.0081510543823242,0.00025
-4.8667345,18432,128,143,9,0.013083464,230.28021240234375,-41.38465974330902,-0.006830184353748337,80,0.2,0.0,599.7544834136963,0.1275390625,1.0085208415985107,0.00025
-3.2332008,20480,128,159,10,0.012369528,96.1209945678711,-41.38749632835388,-0.007481473757070489,90,0.2,0.0,307.3591139793396,0.133251953125,1.0081310272216797,0.00025
-0.033732783,22528,127,176,11,0.009431662,309.39599609375,-41.398204755783084,-0.00493997281009797,100,0.2,0.0,714.2379869461059,0.058984375,1.0095045566558838,0.00025
-13.51956,24576,127,192,12,0.009998217,602.6221313476562,-41.4374573469162,-0.005629591783508659,110,0.2,-2.384185791015625e-07,1195.7605739593505,0.0935546875,1.0106922388076782,0.00025
-10.451119,26624,127,208,13,0.009857964,211.02944946289062,-41.48466780185699,-0.007864976223208942,120,0.2,-1.1920928955078125e-07,451.4191005706787,0.119580078125,1.0128225088119507,0.00025
